iter	Passed	Remaining
784	11149	3053
785	11161	3038
786	11174	3024
787	11186	3009
788	11198	2994
789	11211	2980
790	11223	2965
791	11237	2951
792	11249	2936
793	11261	2921
794	11274	2907
795	11286	2892
796	11299	2878
797	11311	2863
798	11324	2848
799	11336	2834
800	11348	2819
801	11360	2804
802	11374	2790
803	11386	2775
804	11398	2761
805	11411	2746
806	11424	2732
807	11437	2717
808	11449	2703
809	11462	2688
810	11474	2674
811	11487	2659
812	11500	2645
813	11512	2630
814	11524	2616
815	11536	2601
816	11549	2586
817	11561	2572
818	11573	2557
819	11585	2543
820	11597	2528
821	11609	2514
822	11622	2499
823	11635	2485
824	11647	2470
825	11659	2456
826	11671	2441
827	11684	2427
828	11696	2412
829	11708	2398
830	11721	2383
831	11741	2370
832	11759	2357
833	11772	2343
834	11786	2329
835	11799	2314
836	11812	2300
837	11824	2285
838	11838	2271
839	11853	2257
840	11867	2243
841	11880	2229
842	11895	2215
843	11910	2201
844	11924	2187
845	11940	2173
846	11955	2159
847	11971	2145
848	11986	2131
849	12003	2118
850	12018	2104
851	12033	2090
852	12049	2076
853	12064	2062
854	12078	2048
855	12091	2034
856	12105	2019
857	12117	2005
858	12131	1991
859	12144	1976
860	12158	1962
861	12173	1948
862	12188	1934
863	12202	1920
864	12217	1906
865	12231	1892
866	12246	1878
867	12260	1864
868	12274	1850
869	12289	1836
870	12303	1822
871	12316	1807
872	12329	1793
873	12342	1779
874	12354	1764
875	12367	1750
876	12380	1736
877	12392	1721
878	12404	1707
879	12417	1693
880	12429	1678
881	12442	1664
882	12456	1650
883	12469	1636
884	12483	1622
885	12498	1608
886	12514	1594
887	12528	1580
888	12543	1566
889	12557	1552
890	12572	1537
891	12587	1524
892	12602	1510
893	12616	1495
894	12630	1481
895	12644	1467
896	12657	1453
897	12672	1439
898	12687	1425
899	12701	1411
900	12715	1397
901	12728	1382
902	12742	1368
903	12755	1354
904	12767	1340
905	12779	1325
906	12791	1311
907	12804	1297
908	12816	1283
909	12828	1268
910	12841	1254
911	12853	1240
912	12866	1226
913	12878	1211
914	12891	1197
915	12903	1183
916	12916	1169
917	12929	1154
918	12942	1140
919	12965	1127
920	12980	1113
921	12992	1099
922	13005	1084
